label	hypothesis	vel_w	acc_w	jerk_w	posy_w	still_frac_err	emb_cos	emb_fpd	dtwp_matched	length_ratio
baseline	baseline (anon both sides)	0.0144	0.0063	0.0074	0.3642	0.1993	0.2761	5.5241	46.1776	2.4532
seg	seg trim (anon)	0.0247	0.0120	0.0193	0.3930	0.2566	0.2799	6.3566	45.6178	1.4493
butter4	H: LP 4Hz (anon)	0.0161	0.0039	0.0052	0.3889	0.1431	0.2827	6.2573	47.8556	1.4493
butter6	H: LP 6Hz (anon)	0.0193	0.0048	0.0042	0.3910	0.1627	0.2806	6.3077	45.8865	1.4493
butter8	H: LP 8Hz (anon)	0.0211	0.0067	0.0052	0.3920	0.1775	0.2797	6.2934	45.7122	1.4493
butter10	H: LP 10Hz (anon)	0.0223	0.0088	0.0060	0.3924	0.1991	0.2795	6.2849	45.6099	1.4493
b6_cap34	H: LP6 + cap34 (anon)	0.0332	0.0095	0.0050	0.3512	0.0758	0.2732	6.3702	51.5927	0.8601
fluent_b6_cap40	H: fluent = LP6 + cap40 (anon)	0.0289	0.0078	0.0040	0.3575	0.0887	0.2751	6.2643	50.3417	0.9719
b6_cap46	H: LP6 + cap46 (anon)	0.0266	0.0069	0.0039	0.3588	0.0980	0.2773	6.1835	51.1891	1.0577
